,Strategy Return
2010-05-31,0.9260762619221508
2010-06-30,0.9797684135667448
2010-07-31,0.9704967779269232
2010-08-31,1.0519292783114487
2010-09-30,1.0254171834446961
2010-10-31,1.0904069909115135
2010-11-30,1.088526049015389
2010-12-31,1.1403082466347694
2011-01-31,1.1851638376092508
2011-02-28,1.2140795614334743
2011-03-31,1.1905396944480502
2011-04-30,1.2247447881381075
2011-05-31,1.2098188522371272
2011-06-30,1.1817134512018321
2011-07-31,1.2338807708331654
2011-08-31,1.3531665519607732
2011-09-30,1.5318673159576148
2011-10-31,1.4732085271315964
2011-11-30,1.502512322702745
2011-12-31,1.554271620904534
2012-01-31,1.6773574568266778
2012-02-29,1.6337965910002998
2012-03-31,1.7163536216623143
2012-04-30,1.6962805658720153
2012-05-31,1.5887700654861583
2012-06-30,1.5621074423579326
2012-07-31,1.6217374892745862
2012-08-31,1.600348808091732
2012-09-30,1.6145669572555152
2012-10-31,1.5119220822665034
2012-11-30,1.5317090933069117
2012-12-31,1.4936050298289185
2013-01-31,1.4460284818165674
2013-02-28,1.4536025297049946
2013-03-31,1.4922911224225983
2013-04-30,1.5301555833457556
2013-05-31,1.5848964330724014
2013-06-30,1.546933893616052
2013-07-31,1.644608001948976
2013-08-31,1.6380962846292695
2013-09-30,1.7172516245303902
2013-10-31,1.8023751670359418
2013-11-30,1.866379621383098
2013-12-31,1.9210103735982094
2014-01-31,1.875957062946201
2014-02-28,1.9671375957879549
2014-03-31,1.9637048655022153
2014-04-30,2.004847672058488
2014-05-31,2.080200118088541
2014-06-30,2.074972034322755
2014-07-31,2.0994988157183236
2014-08-31,2.2046720664388695
2014-09-30,2.1879912207686734
2014-10-31,2.245796543142433
2014-11-30,2.347898565329917
2014-12-31,2.295291244359583
2015-01-31,2.5205923039899223
2015-02-28,2.3658694060866603
2015-03-31,2.3917104031258094
2015-04-30,2.3097899783097184
2015-05-31,2.3526435779459596
2015-06-30,2.2942018906775874
2015-07-31,2.3987660435399465
2015-08-31,2.2350626725116527
2015-09-30,2.279023727801295
2015-10-31,2.2697058201971725
2015-11-30,2.2858240748036027
2015-12-31,2.2228866270083816
2016-01-31,2.0692756407030326
2016-02-29,2.133131982333853
2016-03-31,2.131141339814165
2016-04-30,2.1154453557665525
2016-05-31,2.228500614350642
2016-06-30,2.176795318955457
2016-07-31,2.2225635259056062
2016-08-31,2.248402659018399
2016-09-30,2.2144883376903564
2016-10-31,2.202529572086096
2016-11-30,2.2141200567325745
2016-12-31,2.243121115118687
2017-01-31,2.3229011273547457
2017-02-28,2.424529161176783
2017-03-31,2.473671845770084
2017-04-30,2.541128555543387
2017-05-31,2.653174427979709
2017-06-30,2.585864532479022
2017-07-31,2.5688397744682634
2017-08-31,2.6487102335622343
2017-09-30,2.6696835710081106
2017-10-31,2.8435969789926467
2017-11-30,2.8746066828862786
2017-12-31,2.8773416417752227
2018-01-31,3.094632085765116
2018-02-28,3.054624960522614
2018-03-31,2.9300312329539326
2018-04-30,2.929345342319831
2018-05-31,2.9880613423752784
2018-06-30,2.9698374384943094
2018-07-31,3.0528861717889835
2018-08-31,3.2293637959007193
2018-09-30,3.2359671285045053
2018-10-31,2.961670251863539
2018-11-30,2.918217465820752
2018-12-31,3.089035615671993
2019-01-31,3.100730305770508
2019-02-28,3.058051667384432
2019-03-31,3.1825514487815147
2019-04-30,3.3852792464295884
2019-05-31,3.0919545789922176
2019-06-30,3.121332435399455
2019-07-31,3.2305230976955484
2019-08-31,3.587464234386979
2019-09-30,3.4913247661807394
2019-10-31,3.45245943317187
2019-11-30,3.4384064151887688
2019-12-31,3.5869667998370964
2020-01-31,3.730179883128856
2020-02-29,3.4578406763639515
2020-03-31,3.6783372371281478
2020-04-30,3.7231727270906907
2020-05-31,3.6575727558918856
2020-06-30,3.8875128752107284
2020-07-31,4.118494871896611
2020-08-31,4.577115411737211
2020-09-30,4.312621819344982
2020-10-31,4.181305392802851
2020-11-30,4.650689825386964
2020-12-31,4.916473138312832
2021-01-31,4.881871009303707
2021-02-28,4.954133321544063
2021-03-31,4.9907602717188855
2021-04-30,5.249675745585563
2021-05-31,5.200823556415678
2021-06-30,5.5265066438697295
2021-07-31,5.712770545113801
2021-08-31,5.916106386109825
2021-09-30,5.57060975704096
2021-10-31,6.026122636580524
2021-11-30,6.146456615347226
2021-12-31,6.346052179627821
2022-01-31,5.911717665046125
2022-02-28,5.6233755968209325
2022-03-31,5.317218419265754
2022-04-30,4.731398439022274
2022-05-31,4.6989457305997675
2022-06-30,4.264024097650692
2022-07-31,4.367682576268657
2022-08-31,4.096329157716237
2022-09-30,3.6647589980835082
2022-10-31,3.811343643139364
2022-11-30,4.0161072274100125
2022-12-31,3.6863745405677815
2023-01-31,4.027639338711057
2023-02-28,3.832275592957434
2023-03-31,4.2039615041106995
2023-04-30,4.19895071468723
2023-05-31,4.573384181661827
2023-06-30,4.850219701387496
2023-07-31,4.975479057296502
2023-08-31,4.901692208671001
2023-09-30,4.652692486183166
2023-10-31,4.556591855838974
2023-11-30,5.144189469643912
2023-12-31,5.359354528986296
2024-01-31,5.504142707677669
2024-02-29,5.770261176925122
2024-03-31,5.843830027932228
2024-04-30,5.513822446085616
2024-05-31,5.853023133601337
2024-06-30,6.320968484888887
2024-07-31,6.226908231325649
2024-08-31,6.292245021295939
2024-09-30,6.418054427464368
2024-10-31,6.067957941681845
2024-11-30,6.392643574661334
2024-12-31,6.45508718184939
